;genre;filename;year;number;score;sentence1;sentence2;liu_path;liu_res;liu_lin;liu_jcn;agirre_words;agirre_synsets
41;main-captions;MSRvid;2012test;276;3;['a', 'woman', 'is', 'talking', 'on', 'a', 'cell', 'phone'];['a', 'man', 'and', 'woman', 'are', 'talking', 'on', 'the', 'phone'];0.945205479;0.78320781;0.807798098;;0.705882353;0.823529412
42;main-captions;MSRvid;2012test;279;3.6;['a', 'man', 'is', 'playing', 'a', 'guitar'];['a', 'man', 'is', 'singing', 'while', 'playing', 'the', 'guitar'];0.911151411;0.89728048;0.948279927;;0.857142857;0.857142857
43;main-captions;MSRvid;2012test;281;0.5;['a', 'man', 'is', 'playing', 'a', 'guitar'];['a', 'man', 'is', 'driving', 'a', 'car'];0.767094226;0.834655701;0.912771231;;0.666666667;1
44;main-captions;MSRvid;2012test;302;1.5;['a', 'man', 'is', 'cutting', 'apple', 'by', 'his', 'hand'];['a', 'man', 'is', 'cutting', 'carpet', 'with', 'a', 'knife'];0.732343488;0.732614376;0.795976664;;0.5;0.625
45;main-captions;MSRvid;2012test;308;0.8;['a', 'man', 'is', 'opening', 'a', 'door'];['a', 'man', 'is', 'cutting', 'an', 'onion'];0.75900688;0.57812402;0.834506097;;0.666666667;0.666666667
46;main-captions;MSRvid;2012test;310;0.8;['a', 'man', 'is', 'slicing', 'a', 'tomato'];['a', 'man', 'is', 'riding', 'a', 'horse'];0.774411574;0.781037575;0.917550879;;0.666666667;1
47;main-captions;MSRvid;2012test;313;0.6;['a', 'man', 'is', 'cutting', 'paper', 'with', 'a', 'sword'];['a', 'woman', 'is', 'cutting', 'a', 'tomato'];0.73506838;0.512181879;0.749313891;;0.571428571;0.857142857
48;main-captions;MSRvid;2012test;321;4.4;['a', 'boy', 'studies', 'a', 'calendar'];['a', 'boy', 'is', 'looking', 'at', 'a', 'calendar'];0.813621224;0.872733496;0.838555273;;0.666666667;1
49;main-captions;MSRvid;2012test;326;1.75;['the', 'ballerina', 'is', 'dancing'];['a', 'man', 'is', 'dancing'];0.703179229;0.431168022;0.586171133;;0.5;0.5
50;main-captions;MSRvid;2012test;330;0.4;['a', 'woman', 'is', 'dancing'];['a', 'woman', 'is', 'playing', 'violin'];0.81609114;0.800055795;0.916957245;;0.666666667;0.666666667
51;main-captions;MSRvid;2012test;333;1.4;['a', 'woman', 'is', 'slicing', 'some', 'tomatoes'];['a', 'woman', 'is', 'chopping', 'a', 'potato'];0.760189146;0.811599365;0.906488086;;0.5;0.666666667
52;main-captions;MSRvid;2012test;337;0.4;['a', 'woman', 'is', 'water', 'skiing'];['a', 'woman', 'is', 'slicing', 'fish'];0.758707691;1;1;;0.6;0.6
53;main-captions;MSRvid;2012test;341;0.8;['a', 'man', 'is', 'playing', 'a', 'flute'];['a', 'man', 'is', 'riding', 'a', 'scooter'];0.778378378;0.597829869;0.850948934;;0.666666667;1
54;main-captions;MSRvid;2012test;343;2;['a', 'man', 'is', 'playing', 'the', 'piano'];['a', 'man', 'played', 'the', 'guitar'];0.885079415;0.456191844;0.560218155;;0.545454545;0.545454545
55;main-captions;MSRvid;2012test;346;0.133;['a', 'woman', 'is', 'picking', 'a', 'can'];['a', 'man', 'is', 'playing', 'a', 'guitar'];0.695285374;0.715812046;0.813273679;;0.5;0.833333333
56;main-captions;MSRvid;2012test;353;4;['a', 'man', 'puts', 'three', 'pieces', 'of', 'meat', 'into', 'a', 'pan'];['a', 'man', 'is', 'putting', 'meat', 'in', 'a', 'pan'];0.897957086;0.90609022;0.816496581;;0.555555556;1
57;main-captions;MSRvid;2012test;356;0.267;['a', 'woman', 'is', 'cutting', 'an', 'onion'];['a', 'woman', 'is', 'cleaning', 'a', 'garden'];0.757243256;0.87650989;0.949232183;;0.5;0.666666667
58;main-captions;MSRvid;2012test;358;3.4;['some', 'men', 'are', 'sawing'];['men', 'are', 'sawing', 'logs'];0.806225775;1;1;;0.75;0.75
59;main-captions;MSRvid;2012test;363;1.2;['a', 'car', 'is', 'driven', 'down', 'the', 'road'];['a', 'girl', 'is', 'walking', 'down', 'a', 'road'];0.805094042;0.786444525;0.86731344;;0.571428571;0.714285714
60;main-captions;MSRvid;2012test;370;5;['the', 'man', 'is', 'kissing', 'and', 'hugging', 'the', 'woman'];['a', 'man', 'is', 'hugging', 'and', 'kissing', 'a', 'woman'];0.932007033;0.913673155;0.869221985;;0.75;0.875
61;main-captions;MSRvid;2012test;383;0;['a', 'train', 'is', 'moving'];['a', 'man', 'is', 'doing', 'yoga'];0.751251805;0.672211381;0.880875233;;0.444444444;0.444444444
62;main-captions;MSRvid;2012test;389;3.8;['someone', 'is', 'slicing', 'an', 'onion'];['a', 'woman', 'is', 'cutting', 'onion'];0.723721999;0.934843625;0.944224455;;0.4;0.4
63;main-captions;MSRvid;2012test;396;0.75;['a', 'woman', 'is', 'playing', 'in', 'the', 'ocean'];['a', 'woman', 'is', 'preparing', 'shrimp', 'to', 'cook'];0.724297455;0.740509271;0.916187806;;0.428571429;0.428571429
64;main-captions;MSRvid;2012test;400;3.4;['a', 'person', 'is', 'playing', 'an', 'electronic', 'keyboard'];['a', 'kid', 'is', 'playing', 'keyboard'];0.791545119;0.774023546;0.856496746;;0.666666667;0.666666667
65;main-captions;MSRvid;2012test;411;0;['a', 'man', 'is', 'holding', 'a', 'leaf'];['a', 'monkey', 'is', 'fighting', 'a', 'man'];0.818760998;1;1;;0.666666667;1
66;main-captions;MSRvid;2012test;412;0.2;['a', 'woman', 'is', 'peeling', 'shrimp'];['a', 'man', 'is', 'squeezing', 'water'];0.684106772;0.790247833;0.869221985;;0.4;0.4
67;main-captions;MSRvid;2012test;421;4;['a', 'man', 'is', 'sitting', 'and', 'smoking'];['a', 'man', 'is', 'smoking', 'a', 'cigarette'];0.89888768;0.887394922;0.965763627;;0.666666667;0.833333333
68;main-captions;MSRvid;2012test;425;0.5;['a', 'man', 'is', 'playing', 'a', 'guitar'];['a', 'woman', 'is', 'riding', 'a', 'horse'];0.714984496;0.715812046;0.813273679;;0.5;0.833333333
69;main-captions;MSRvid;2012test;435;3.8;['a', 'man', 'is', 'standing', 'in', 'front', 'of', 'the', 'window', 'and', 'looking', 'outside'];['a', 'man', 'is', 'staring', 'out', 'the', 'window'];0.831188899;1;1;;0.526315789;0.421052632
70;main-captions;MSRvid;2012test;436;2.4;['a', 'skunk', 'is', 'looking', 'here', 'and', 'there'];['a', 'skunk', 'looks', 'at', 'the', 'camera'];0.752885266;0.519608319;0.626626823;;0.307692308;0.461538462
71;main-captions;MSRvid;2012test;452;4.75;['a', 'man', 'is', 'playing', 'the', 'guitar', 'and', 'singing'];['a', 'man', 'sings', 'with', 'a', 'guitar'];0.918262258;0.9178883;0.963252998;;0.428571429;0.714285714
72;main-captions;MSRvid;2012test;459;0;['a', 'woman', 'opens', 'a', 'window'];['a', 'man', 'is', 'crawling'];0.639406816;0.508292656;0.568415134;;0.444444444;0.444444444
73;main-captions;MSRvid;2012test;463;3.75;['people', 'are', 'dancing', 'outside'];['a', 'group', 'of', 'people', 'are', 'dancing'];0.818575065;;;;0.6;0.6
74;main-captions;MSRvid;2012test;465;2.6;['the', 'man', 'is', 'using', 'a', 'camera', 'to', 'hammer', 'a', 'nail'];['someone', 'is', 'banging', 'a', 'camera', 'lense', 'against', 'a', 'nail'];0.815866855;0.911704165;0.913681279;;0.526315789;0.736842105
75;main-captions;MSRvid;2012test;470;0;['a', 'woman', 'is', 'filing', 'her', 'nails'];['a', 'man', 'is', 'peeling', 'a', 'carrot'];0.663118812;0.658483596;0.822798668;;0.333333333;0.5
76;main-captions;MSRvid;2012test;475;0.75;['a', 'boy', 'is', 'crawling', 'into', 'a', 'dog', 'house'];['a', 'boy', 'is', 'playing', 'a', 'wooden', 'flute'];0.696928642;1;1;;0.533333333;0.8
77;main-captions;MSRvid;2012test;487;0;['a', 'woman', 'is', 'swimming', 'underwater'];['a', 'man', 'is', 'slicing', 'some', 'carrots'];0.603957673;0.658483596;0.822798668;;0.363636364;0.363636364
78;main-captions;MSRvid;2012test;491;3.8;['a', 'machine', 'is', 'sharpening', 'a', 'pencil'];['the', 'machine', 'shaved', 'the', 'end', 'of', 'the', 'pencil'];0.760291713;;;;0.285714286;0.285714286
79;main-captions;MSRvid;2012test;509;2.8;['a', 'monkey', 'is', 'playing', 'drums'];['a', 'gorilla', 'plays', 'the', 'drums'];0.861470592;0.357303552;0.545505081;;0.4;0.6
80;main-captions;MSRvid;2012test;521;0;['a', 'man', 'is', 'opening', 'a', 'box', 'and', 'taking', 'out', 'paper'];['a', 'woman', 'is', 'peeling', 'a', 'potato'];0.704312037;0.850467845;0.891710497;;0.375;0.625
81;main-captions;MSRvid;2012test;533;0.8;['a', 'woman', 'is', 'dancing'];['a', 'woman', 'plays', 'the', 'clarinet'];0.73566788;0.60501426;0.722022465;;0.444444444;0.444444444
82;main-captions;MSRvid;2012test;540;3;['a', 'person', 'is', 'drawing', 'on', 'a', 'large', 'touchscreen'];['a', 'man', 'is', 'drawing', 'on', 'a', 'digital', 'dry', 'erase', 'board'];0.754867098;0.233306987;0.570685937;;0.555555556;0.777777778
83;main-captions;MSRvid;2012test;544;1;['the', 'men', 'played', 'follow', 'the', 'leader', 'on', 'the', 'grass'];['the', 'rhino', 'grazed', 'on', 'the', 'grass'];0.714206564;0.545223958;0.655605639;0;0.666666667;0.266666667
84;main-captions;MSRvid;2012test;545;0;['a', 'woman', 'is', 'cracking', 'eggs'];['a', 'man', 'is', 'talking', 'to', 'a', 'woman'];0.776970778;1;1;;0.5;0.666666667
85;main-captions;MSRvid;2012test;548;1;['a', 'woman', 'peels', 'garlic', 'with', 'her', 'hands'];['the', 'woman', 'is', 'slicing', 'herbs'];0.559361047;0.940102698;0.835910061;;0.166666667;0.166666667
86;main-captions;MSRvid;2012test;549;3.4;['the', 'polar', 'bears', 'fought', 'over', 'the', 'kill'];['polar', 'bears', 'are', 'fighting', 'each', 'other'];0.755855781;;;;0.307692308;0.461538462
87;main-captions;MSRvid;2012test;554;5;['a', 'man', 'is', 'doing', 'trick', 'with', 'play', 'cards'];['a', 'man', 'is', 'performing', 'a', 'card', 'trick'];0.98644005;0.971636368;0.994474564;;0.533333333;0.933333333
88;main-captions;MSRvid;2012test;557;2.333;['the', 'cat', 'is', 'licking', 'a', 'bottle'];['a', 'cat', 'plays', 'with', 'a', 'small', 'bottle'];0.782324754;0.668202164;0.707106781;;0.461538462;0.615384615
89;main-captions;MSRvid;2012test;563;1.4;['a', 'person', 'is', 'slicing', 'an', 'onion'];['a', 'person', 'cuts', 'ginger'];0.744357148;0.921765775;0.881284641;;0.4;0.4
90;main-captions;MSRvid;2012test;572;0.75;['a', 'person', 'is', 'peeling', 'a', 'potato', 'with', 'a', 'potato', 'peeler'];['a', 'man', 'is', 'cutting', 'tomatoes', 'with', 'a', 'cleaver'];0.720994809;0.769021569;0.86699052;;0.555555556;0.777777778
91;main-captions;MSRvid;2012test;579;3.538;['two', 'women', 'are', 'dancing', 'and', 'singing', 'in', 'front', 'of', 'a', 'crowd'];['the', 'women', 'are', 'singing', 'and', 'dancing'];0.828647925;0.876711021;0.798009451;;0.588235294;0.470588235
92;main-captions;MSRvid;2012test;590;0.8;['a', 'man', 'is', 'seasoning', 'some', 'carrots'];['a', 'woman', 'is', 'slicing', 'garlic'];0.678112989;0.872813077;0.891951783;;0.363636364;0.363636364
93;main-captions;MSRvid;2012test;592;3.5;['two', 'men', 'pushed', 'carts', 'through', 'the', 'woods'];['two', 'men', 'are', 'pushing', 'carts'];0.844305526;0.752085841;0.794292526;;0.5;0.666666667
94;main-captions;MSRvid;2012test;599;2;['a', 'man', 'is', 'playing', 'a', 'football'];['a', 'man', 'is', 'maneuvering', 'a', 'soccer', 'ball', 'with', 'his', 'feet'];0.838167162;0.84402445;0.946559009;;0.5;0.75
95;main-captions;MSRvid;2012test;602;4.75;['the', 'lady', 'peeled', 'the', 'potatoe'];['a', 'woman', 'is', 'peeling', 'a', 'potato'];0.766219534;0.694301746;0.655281525;0;0;0.181818182
96;main-captions;MSRvid;2012test;606;4;['a', 'woman', 'is', 'slicing', 'some', 'tofu'];['a', 'woman', 'is', 'cutting', 'a', 'block', 'of', 'tofu', 'into', 'small', 'cubes'];0.789938605;1;1;;0.470588235;0.588235294
97;main-captions;MSRvid;2012test;615;4.5;['someone', 'typed', 'on', 'a', 'keyboard'];['someone', 'is', 'typing'];0.717414055;0.732093809;0.753561703;;0.25;0.5
98;main-captions;MSRvid;2012test;622;1.5;['three', 'young', 'men', 'run', 'jump', 'and', 'kick', 'off', 'of', 'a', 'coke', 'machine'];['three', 'men', 'are', 'jumping', 'off', 'a', 'wall'];0.845263847;1;1;;0.421052632;0.526315789
99;main-captions;MSRvid;2012test;628;2.4;['a', 'young', 'asian', 'girl', 'is', 'applying', 'eyeliner'];['a', 'girl', 'is', 'putting', 'on', 'eye', 'makeup'];0.742440699;0.83512629;0.907699633;;0.428571429;0.428571429
100;main-captions;MSRvid;2012test;636;0;['a', 'cat', 'is', 'walking', 'around', 'a', 'house'];['a', 'woman', 'is', 'peeling', 'potato'];0.657019313;0.582677548;0.750520208;;0.5;0.5
101;main-captions;MSRvid;2012test;647;0.4;['a', 'woman', 'is', 'talking', 'to', 'her', 'pet', 'bunny', 'as', 'she', 'fondles', 'it'];['a', 'woman', 'walks', 'her', 'dog', 'onto', 'astro', 'turf'];0.634720691;0.753676328;0.726741912;;0.3;0.3
102;main-captions;MSRvid;2012test;648;2.5;['a', 'monkey', 'is', 'playing', 'drums'];['someone', 'in', 'a', 'gorilla', 'costume', 'is', 'playing', 'a', 'set', 'of', 'drums'];0.792101395;0.630015866;0.803536029;;0.5;0.625
103;main-captions;MSRvid;2012test;656;2.6;['a', 'man', 'is', 'riding', 'a', 'white', 'horse', 'on', 'an', 'enclosed', 'ground'];['someone', 'is', 'riding', 'a', 'horse'];0.811406817;0.956837351;0.894053689;;0.625;0.625
104;main-captions;MSRvid;2012test;658;3.6;['an', 'oriental', 'lady', 'is', 'cutting', 'a', 'carrot', 'into', 'thin', 'pieces'];['a', 'woman', 'is', 'slicing', 'a', 'carrot'];0.777040509;0.965003462;0.977468179;;0.375;0.5
105;main-captions;MSRvid;2012test;662;3;['a', 'group', 'of', 'people', 'are', 'dancing'];['women', 'are', 'dancing', 'outside'];0.691293639;0.25922089;0.273638166;0;0.4;0.4
106;main-captions;MSRvid;2012test;663;0;['a', 'man', 'is', 'playing', 'guitar'];['a', 'boy', 'is', 'talking', 'to', 'a', 'giant', 'dog'];0.714064417;0.666885317;0.793905514;;0.307692308;0.461538462
107;main-captions;MSRvid;2012test;664;1.6;['a', 'woman', 'mixes', 'up', 'vegetables'];['a', 'woman', 'is', 'adding', 'ingredients', 'to', 'a', 'skillet'];0.687532789;0.53141064;0.701008324;;0.307692308;0.461538462
108;main-captions;MSRvid;2012test;665;1.25;['a', 'woman', 'pours', 'a', 'mixture', 'into', 'a', 'bowl', 'and', 'mixes', 'it'];['a', 'woman', 'is', 'preparing', 'an', 'egg', 'in', 'a', 'skillet'];0.594210389;0.651993209;0.774362157;;0.4;0.7
109;main-captions;MSRvid;2012test;674;3.6;['a', 'man', 'is', 'cutting', 'pieces', 'of', 'butter', 'into', 'a', 'mixing', 'bowl'];['pieces', 'of', 'butter', 'is', 'added', 'in', 'the', 'stand', 'mixer'];0.806850202;0.893779983;0.896600412;;0.4;0.4
110;main-captions;MSRvid;2012test;677;2;['a', 'man', 'is', 'putting', 'garlic', 'on', 'some', 'bread', 'slices'];['a', 'man', 'is', 'sprinkling', 'seasoning', 'on', 'several', 'split', 'and', 'buttered', 'loaves', 'of', 'bread'];0.756683095;0.795428951;0.840842682;;0.454545455;0.454545455
111;main-captions;MSRvid;2012test;679;3.6;['the', 'panda', 'bear', 'lay', 'on', 'the', 'logs'];['a', 'panda', 'is', 'lying', 'down'];0.707152495;0.845217113;0.631363531;;0.166666667;0.333333333
112;main-captions;MSRvid;2012test;683;2.8;['five', 'men', 'jump', 'into', 'a', 'swimming', 'pool'];['a', 'group', 'of', 'swimmers', 'fall', 'into', 'a', 'pool'];0.747837144;0.529347774;0.760937409;;0.4;0.4
113;main-captions;MSRvid;2012test;698;4.4;['a', 'cheetah', 'is', 'running', 'behind', 'its', 'prey'];['a', 'cheetah', 'chases', 'prey', 'on', 'across', 'a', 'field'];0.648463289;0.74766816;0.611300222;;0.4;0.533333333
114;main-captions;MSRvid;2012test;702;0;['a', 'cat', 'is', 'playing', 'on', 'the', 'floor'];['a', 'man', 'is', 'slicing', 'garlic'];0.685068041;0.915577606;0.975275486;;0.333333333;0.333333333
115;main-captions;MSRvid;2012test;703;0;['a', 'boy', 'is', 'playing', 'violin', 'on', 'stage'];['a', 'person', 'is', 'mixing', 'a', 'pot'];0.614813031;0.609888777;0.849389047;;0.307692308;0.461538462
116;main-captions;MSRvid;2012test;714;3.75;['a', 'dog', 'is', 'barking', 'at', 'a', 'toy'];['the', 'little', 'dog', 'barked', 'at', 'the', 'electronic', 'toy'];0.791874081;0.877461224;0.838447542;;0.4;0.533333333
117;main-captions;MSRvid;2012test;720;2.5;['a', 'man', 'is', 'cycling'];['a', 'boy', 'is', 'riding', 'a', 'bicycle'];0.938083152;0.725416825;0.860643675;;0.4;0.8
118;main-captions;MSRvid;2012test;726;0;['a', 'woman', 'is', 'slicing', 'ginger'];['a', 'person', 'is', 'holding', 'two', 'baby', 'lorises'];0.68330424;0.85036732;0.9438732;;0.333333333;0.333333333
119;main-captions;MSRvid;2012test;730;0.8;['a', 'man', 'is', 'dragging', 'a', 'dead', 'deer'];['a', 'man', 'is', 'jumping', 'into', 'water', 'from', 'a', 'cliff'];0.712854192;0.481871234;0.743773729;;0.5;0.75
120;main-captions;MSRvid;2012test;733;1;['a', 'man', 'is', 'preparing', 'a', 'snake', 'for', 'cooking'];['the', 'man', 'is', 'dropping', 'sliced', 'cucumbers', 'into', 'water'];0.640652702;0.619390339;0.781351895;;0.25;0.25
121;main-captions;MSRvid;2012test;734;0;['a', 'woman', 'is', 'spreading', 'mustard', 'on', 'a', 'bread', 'roll'];"['a', 'kitten', 'is', 'playing', 'with', 'a', 'woman', ""'s"", 'finger']";0.67443389;0.870868933;0.969090114;;0.444444444;0.666666667
122;main-captions;MSRvid;2012test;739;0.25;['someone', 'touched', 'the', 'kitten', 'chewing', 'on', 'a', 'string'];['someone', 'is', 'cutting', 'paper'];0.596153635;0.287995016;0.597970033;;0.166666667;0.166666667
123;main-captions;MSRvid;2012test;741;0.4;['meat', 'is', 'being', 'put', 'into', 'a', 'skillet'];['a', 'woman', 'is', 'putting', 'a', 'baby', 'into', 'a', 'trash', 'can'];0.773542763;0.609578186;0.77322204;;0.352941176;0.705882353
